,SCORE,Quarter,Time,Clock,Team,Score
271,72 - 50,3,1095.0,06:15,Home,50
271,72 - 50,3,1095.0,06:15,Away,72
272,72 - 50,3,1092.0,06:12,Home,50
272,72 - 50,3,1092.0,06:12,Away,72
273,72 - 50,3,1092.0,06:12,Away,72
273,72 - 50,3,1092.0,06:12,Home,50
274,72 - 50,3,1078.0,05:58,Away,72
274,72 - 50,3,1078.0,05:58,Home,50
275,72 - 50,3,1076.0,05:56,Home,50
275,72 - 50,3,1076.0,05:56,Away,72
276,72 - 52,3,1076.0,05:56,Home,52
276,72 - 52,3,1076.0,05:56,Away,72
277,72 - 52,3,1058.0,05:38,Home,52
277,72 - 52,3,1058.0,05:38,Away,72
278,72 - 52,3,1056.0,05:36,Away,72
278,72 - 52,3,1056.0,05:36,Home,52
279,72 - 52,3,1056.0,05:36,Away,72
279,72 - 52,3,1056.0,05:36,Home,52
280,72 - 52,3,1054.0,05:34,Away,72
280,72 - 52,3,1054.0,05:34,Home,52
281,72 - 52,3,1043.0,05:23,Away,72
281,72 - 52,3,1043.0,05:23,Home,52
282,72 - 52,3,1041.0,05:21,Home,52
282,72 - 52,3,1041.0,05:21,Away,72
283,72 - 52,3,1037.0,05:17,Away,72
283,72 - 52,3,1037.0,05:17,Home,52
284,72 - 52,3,1037.0,05:17,Home,52
284,72 - 52,3,1037.0,05:17,Away,72
285,72 - 52,3,1036.0,05:16,Home,52
285,72 - 52,3,1036.0,05:16,Away,72
286,72 - 52,3,1034.0,05:14,Away,72
286,72 - 52,3,1034.0,05:14,Home,52
287,72 - 52,3,1032.0,05:12,Home,52
287,72 - 52,3,1032.0,05:12,Away,72
288,72 - 52,3,1021.0,05:01,Home,52
288,72 - 52,3,1021.0,05:01,Away,72
